id,journal,nid_journal,ffecha_journal,nid_surtidor,nlado_surtidor,nid_producto,nposicion_manguera,dprecio_journal,dvolumen_journal,dmonto_journal,dcontometrogalon_journal,dcontometromoneda_journal,ffechacontable_journal,turno,nturno_journal,nestadodesp,nestadocont,ntransactionid_journal,ntranfinished_journal,created_at,updated_at
23566,,7122,2018-11-18 00:00:00 -0500,8,8,7,1,1.59,0.437,7.0,907649.83,0.0,2018-11-20 14:11:54 -0500,3,923,1,1,14.0,0.0,2018-11-27 11:48:47 -0500,2018-11-27 11:48:47 -0500
23567,,7123,2018-11-18 00:00:00 -0500,5,5,2,3,12.85,0.078,1.0,2606967.52,2932395.21,2018-11-20 14:11:54 -0500,3,923,1,1,60.0,0.0,2018-11-27 11:48:47 -0500,2018-11-27 11:48:47 -0500
23568,,7124,2018-11-18 00:00:00 -0500,5,5,1,2,11.84,0.253,3.0,304446.78,368304.44,2018-11-20 14:11:54 -0500,3,923,1,1,61.0,0.0,2018-11-27 11:48:47 -0500,2018-11-27 11:48:47 -0500
23569,,7125,2018-11-18 00:00:00 -0500,8,8,7,1,1.59,2.333,37.1,907673.16,0.0,2018-11-20 14:11:54 -0500,3,923,1,1,15.0,0.0,2018-11-27 11:48:47 -0500,2018-11-27 11:48:47 -0500
23570,,7126,2018-11-18 00:00:00 -0500,2,2,5,1,12.49,9.247,115.5,781272.0,818849.17,2018-11-20 14:11:54 -0500,3,923,1,1,41.0,0.0,2018-11-27 11:48:47 -0500,2018-11-27 11:48:47 -0500
23571,,7127,2018-11-18 00:00:00 -0500,3,3,5,1,12.49,8.647,108.0,309739.52,299972.9,2018-11-20 14:11:54 -0500,3,923,1,1,53.0,0.0,2018-11-27 11:48:47 -0500,2018-11-27 11:48:47 -0500
23572,,7128,2018-11-18 00:00:00 -0500,1,1,5,1,12.49,2.722,34.0,1050868.19,1102508.94,2018-11-20 14:11:54 -0500,3,923,1,1,74.0,0.0,2018-11-27 11:48:47 -0500,2018-11-27 11:48:47 -0500
23573,,7129,2018-11-18 00:00:00 -0500,7,7,7,1,1.59,1.257,20.0,1026788.0,0.0,2018-11-20 14:11:54 -0500,3,923,1,1,6.0,0.0,2018-11-27 11:48:47 -0500,2018-11-27 11:48:47 -0500
23574,,7130,2018-11-18 00:00:00 -0500,7,7,7,1,1.59,1.253,20.0,1026800.53,0.0,2018-11-20 14:11:54 -0500,3,923,1,1,7.0,0.0,2018-11-27 11:48:47 -0500,2018-11-27 11:48:47 -0500
23575,,7131,2018-11-18 00:00:00 -0500,7,7,7,1,1.59,1.755,28.0,1026818.08,0.0,2018-11-20 14:11:54 -0500,3,923,1,1,8.0,0.0,2018-11-27 11:48:47 -0500,2018-11-27 11:48:47 -0500
23576,,7132,2018-11-18 00:00:00 -0500,4,4,2,2,12.85,0.778,10.0,77500.13,84516.16,2018-11-20 14:11:54 -0500,3,923,1,1,33.0,0.0,2018-11-27 11:48:47 -0500,2018-11-27 11:48:47 -0500
23577,,7133,2018-11-18 00:00:00 -0500,1,1,2,2,12.85,1.247,16.02,282484.94,328638.63,2018-11-20 14:11:54 -0500,3,923,1,1,75.0,0.0,2018-11-27 11:48:47 -0500,2018-11-27 11:48:47 -0500
23578,,7134,2018-11-18 00:00:00 -0500,8,8,7,1,1.59,0.943,15.0,907682.59,0.0,2018-11-20 14:11:54 -0500,3,923,1,1,16.0,0.0,2018-11-27 11:48:47 -0500,2018-11-27 11:48:47 -0500
23579,,7135,2018-11-18 00:00:00 -0500,8,8,7,1,1.59,0.04,0.7,907682.99,0.0,2018-11-20 14:11:54 -0500,3,923,1,1,17.0,0.0,2018-11-27 11:48:47 -0500,2018-11-27 11:48:47 -0500
23580,,7136,2018-11-18 00:00:00 -0500,8,8,7,1,1.59,1.257,20.0,907695.56,0.0,2018-11-20 14:11:54 -0500,3,923,1,1,18.0,0.0,2018-11-27 11:48:47 -0500,2018-11-27 11:48:47 -0500
23581,,7137,2018-11-18 00:00:00 -0500,7,7,7,1,1.59,3.015,48.0,1026848.23,0.0,2018-11-20 14:11:54 -0500,3,923,1,1,9.0,0.0,2018-11-27 11:48:47 -0500,2018-11-27 11:48:47 -0500
23582,,7138,2018-11-18 00:00:00 -0500,8,8,7,1,1.59,1.919,30.6,907714.75,0.0,2018-11-20 14:11:54 -0500,3,923,1,1,19.0,0.0,2018-11-27 11:48:47 -0500,2018-11-27 11:48:47 -0500
23583,,7139,2018-11-18 00:00:00 -0500,7,7,7,1,1.59,0.314,5.0,1026851.37,0.0,2018-11-20 14:11:54 -0500,3,923,1,1,10.0,0.0,2018-11-27 11:48:48 -0500,2018-11-27 11:48:48 -0500
23584,,7140,2018-11-18 00:00:00 -0500,4,4,3,3,14.85,3.03,45.0,70827.11,86131.71,2018-11-20 14:11:54 -0500,3,923,1,1,34.0,0.0,2018-11-27 11:48:48 -0500,2018-11-27 11:48:48 -0500
23585,,7141,2018-11-18 00:00:00 -0500,7,7,7,1,1.59,2.515,40.0,1026876.52,0.0,2018-11-20 14:11:54 -0500,3,923,1,1,11.0,0.0,2018-11-27 11:48:48 -0500,2018-11-27 11:48:48 -0500
23586,,7142,2018-11-18 00:00:00 -0500,1,1,5,1,12.49,8.006,100.0,1050948.25,1102608.94,2018-11-20 14:11:54 -0500,3,923,1,1,76.0,0.0,2018-11-27 11:48:48 -0500,2018-11-27 11:48:48 -0500
23587,,7143,2018-11-18 00:00:00 -0500,7,7,7,1,1.59,0.628,10.0,1026882.8,0.0,2018-11-20 14:11:54 -0500,3,923,1,1,12.0,0.0,2018-11-27 11:48:48 -0500,2018-11-27 11:48:48 -0500
23588,,7144,2018-11-18 00:00:00 -0500,1,1,2,2,12.85,0.778,10.0,282492.72,328648.63,2018-11-20 14:11:54 -0500,3,923,1,1,77.0,0.0,2018-11-27 11:48:48 -0500,2018-11-27 11:48:48 -0500
23589,,7145,2018-11-18 00:00:00 -0500,7,7,7,1,1.59,0.314,5.0,1026885.94,0.0,2018-11-20 14:11:54 -0500,3,923,1,1,13.0,0.0,2018-11-27 11:48:48 -0500,2018-11-27 11:48:48 -0500
23590,,7146,2018-11-18 00:00:00 -0500,7,7,7,1,1.59,1.257,20.0,1026898.51,0.0,2018-11-20 14:11:54 -0500,3,923,1,1,14.0,0.0,2018-11-27 11:48:48 -0500,2018-11-27 11:48:48 -0500
23591,,7147,2018-11-18 00:00:00 -0500,1,1,2,2,12.85,0.653,8.39,282499.25,328657.02,2018-11-20 14:11:54 -0500,3,923,1,1,78.0,0.0,2018-11-27 11:48:48 -0500,2018-11-27 11:48:48 -0500
23592,,7148,2018-11-18 00:00:00 -0500,2,2,2,2,12.85,0.623,8.0,348930.48,404542.64,2018-11-20 14:11:54 -0500,3,923,1,1,42.0,0.0,2018-11-27 11:48:48 -0500,2018-11-27 11:48:48 -0500
23593,,7149,2018-11-18 00:00:00 -0500,6,6,1,2,11.84,1.267,15.0,313067.41,377186.17,2018-11-20 14:11:54 -0500,3,923,1,1,12.0,0.0,2018-11-27 11:48:48 -0500,2018-11-27 11:48:48 -0500
23594,,7150,2018-11-18 00:00:00 -0500,3,3,3,3,14.85,2.02,30.0,85018.56,102149.24,2018-11-20 14:11:54 -0500,3,923,1,1,54.0,0.0,2018-11-27 11:48:48 -0500,2018-11-27 11:48:48 -0500
23595,,7151,2018-11-18 00:00:00 -0500,7,7,7,1,1.59,3.139,50.0,1026929.9,0.0,2018-11-20 14:11:54 -0500,3,923,1,1,15.0,0.0,2018-11-27 11:48:48 -0500,2018-11-27 11:48:48 -0500
23596,,7152,2018-11-18 00:00:00 -0500,3,3,2,2,12.85,1.167,15.0,77741.09,86241.4,2018-11-20 14:11:54 -0500,3,923,1,1,55.0,0.0,2018-11-27 11:48:48 -0500,2018-11-27 11:48:48 -0500
23597,,7153,2018-11-18 00:00:00 -0500,4,4,2,2,12.85,0.233,3.0,77502.46,84519.16,2018-11-20 14:11:54 -0500,3,923,1,1,35.0,0.0,2018-11-27 11:48:48 -0500,2018-11-27 11:48:48 -0500
23598,,7154,2018-11-19 00:00:00 -0500,3,3,5,1,12.49,1.601,20.0,309755.53,299992.9,2018-11-20 14:11:54 -0500,1,923,1,1,56.0,0.0,2018-11-27 11:48:48 -0500,2018-11-27 11:48:48 -0500
23599,,7155,2018-11-19 00:00:00 -0500,3,3,2,2,12.85,1.395,17.93,77755.04,86259.33,2018-11-20 14:11:54 -0500,1,923,1,1,57.0,0.0,2018-11-27 11:48:48 -0500,2018-11-27 11:48:48 -0500
23600,,7156,2018-11-19 00:00:00 -0500,1,1,5,1,12.49,4.404,55.01,1050992.29,1102663.95,2018-11-20 14:11:54 -0500,1,923,1,1,79.0,0.0,2018-11-27 11:48:48 -0500,2018-11-27 11:48:48 -0500
23601,,7157,2018-11-19 00:00:00 -0500,4,4,5,1,12.49,6.405,80.0,414970.4,395967.83,2018-11-20 14:11:54 -0500,1,923,1,1,36.0,0.0,2018-11-27 11:48:48 -0500,2018-11-27 11:48:48 -0500
